Team,Matches,Shots,Goals,xG,Passes,Passes_Completed,Possession_Secs,Possession_Share_Sum,Possession_Share_Count,Pressures,Tackles,Interceptions,Fouls,Dribbles,Dribbles_Success,Carries,Progressive_Passes,Progressive_Carries,FinalThird_Entries,Box_Entries,Shots_per_match,Goals_per_match,xG_per_match,Pass_Completion,Pressures_per_match,Tackles_per_match,Interceptions_per_match,Fouls_per_match,Dribbles_per_match,Dribble_Success,Carries_per_match,Progressive_Passes_per_match,Progressive_Carries_per_match,FinalThird_Entries_per_match,Box_Entries_per_match,xG_per_shot,Goals_per_shot,Possession_Share,Team_Normalized
Athletic Club,2,15,2,1.068273634,976,808,3166.7883021930024,0.8834977842732232,2,283,0,21,37,20,9,779,336,79,464,75,7.5,1.0,0.5341368169999999,0.8278688524590164,141.5,0.0,10.5,18.5,10.0,0.45,389.5,168.0,39.5,232.0,37.5,0.0712182422666666,0.1333333333333333,0.4417488921366116,Athletic Club
Atlético Madrid,2,20,1,1.118510347,1015,846,3186.674232191001,0.9123533987928958,2,359,0,39,46,40,23,775,292,66,526,96,10.0,0.5,0.5592551735,0.8334975369458129,179.5,0.0,19.5,23.0,20.0,0.575,387.5,146.0,33.0,263.0,48.0,0.0559255173499999,0.05,0.4561766993964479,Atletico Madrid
Barcelona,35,543,76,72.0203066452,26317,23483,75933.62400791598,21.44434114796344,35,4629,0,316,362,734,471,21957,6646,1867,16743,2395,15.514285714285714,2.1714285714285717,2.057723047005714,0.8923129536041342,132.25714285714287,0.0,9.028571428571428,10.342857142857143,20.97142857142857,0.6416893732970027,627.3428571428572,189.88571428571427,53.34285714285714,478.37142857142857,68.42857142857143,0.1326340822195211,0.1399631675874769,0.6126954613703841,Barcelona
Celta Vigo,2,14,2,1.1958451026,900,728,2817.582315067002,0.8392217090228348,2,420,0,24,47,26,14,643,290,59,384,59,7.0,1.0,0.5979225513,0.8088888888888889,210.0,0.0,12.0,23.5,13.0,0.5384615384615384,321.5,145.0,29.5,192.0,29.5,0.0854175073285714,0.1428571428571428,0.4196108545114174,Celta Vigo
Cádiz,2,11,3,3.3784023746,419,248,1601.4635630129997,0.485147371373048,2,243,0,45,26,20,12,278,208,53,255,46,5.5,1.5,1.6892011872999997,0.5918854415274463,121.5,0.0,22.5,13.0,10.0,0.6,139.0,104.0,26.5,127.5,23.0,0.3071274885999999,0.2727272727272727,0.242573685686524,Cadiz
Deportivo Alavés,2,10,2,1.737716565,559,390,2092.884910009,0.6037090331003906,2,422,0,28,35,20,14,389,235,48,231,47,5.0,1.0,0.8688582825,0.6976744186046512,211.0,0.0,14.0,17.5,10.0,0.7,194.5,117.5,24.0,115.5,23.5,0.1737716564999999,0.2,0.3018545165501953,Deportivo Alaves
Elche,1,6,0,0.670472064,428,360,1508.8776690079997,0.384860794553142,1,177,0,20,9,11,2,346,126,43,119,23,6.0,0.0,0.670472064,0.8411214953271028,177.0,0.0,20.0,9.0,11.0,0.1818181818181818,346.0,126.0,43.0,119.0,23.0,0.111745344,0.0,0.384860794553142,Elche
Getafe,2,14,2,3.1548133810000003,478,298,1970.9456910450017,0.6045878243451113,2,422,0,29,39,23,11,344,212,54,334,77,7.0,1.0,1.5774066905000002,0.6234309623430963,211.0,0.0,14.5,19.5,11.5,0.4782608695652174,172.0,106.0,27.0,167.0,38.5,0.2253438129285714,0.1428571428571428,0.3022939121725556,Getafe
Granada,2,13,2,0.986657062,532,393,2135.851018040003,0.6155978646365874,2,364,0,27,44,22,17,405,219,43,289,49,6.5,1.0,0.493328531,0.7387218045112782,182.0,0.0,13.5,22.0,11.0,0.7727272727272727,202.5,109.5,21.5,144.5,24.5,0.075896697076923,0.1538461538461538,0.3077989323182937,Granada
Huesca,2,12,1,2.4892883990000003,794,653,2946.769471340997,0.7272282615311548,2,460,0,23,30,37,23,652,272,79,322,64,6.0,0.5,1.2446441995000002,0.8224181360201511,230.0,0.0,11.5,15.0,18.5,0.6216216216216216,326.0,136.0,39.5,161.0,32.0,0.2074406999166667,0.0833333333333333,0.3636141307655774,Huesca
Levante UD,2,22,3,1.7535082320000002,826,672,3003.5651425369992,0.83173211035859,2,339,0,41,32,32,15,635,271,69,382,71,11.0,1.5,0.8767541160000001,0.8135593220338984,169.5,0.0,20.5,16.0,16.0,0.46875,317.5,135.5,34.5,191.0,35.5,0.0797049196363636,0.1363636363636363,0.415866055179295,Levante UD
Osasuna,2,20,0,2.3150207333,800,622,2568.377148147002,0.7062041685839374,2,340,0,19,20,17,6,582,297,56,390,98,10.0,0.0,1.15751036665,0.7775,170.0,0.0,9.5,10.0,8.5,0.3529411764705882,291.0,148.5,28.0,195.0,49.0,0.115751036665,0.0,0.3531020842919687,Osasuna
Real Betis,2,20,4,2.4003045,873,719,2982.159577292999,0.845313118323116,2,317,0,12,34,27,14,707,289,92,334,80,10.0,2.0,1.20015225,0.8235967926689576,158.5,0.0,6.0,17.0,13.5,0.5185185185185185,353.5,144.5,46.0,167.0,40.0,0.1200152249999999,0.2,0.422656559161558,Real Betis
Real Madrid,2,30,5,4.221833273,932,770,2996.3755101220004,0.865524511261744,2,416,0,27,34,35,25,758,272,88,480,98,15.0,2.5,2.1109166365,0.8261802575107297,208.0,0.0,13.5,17.0,17.5,0.7142857142857143,379.0,136.0,44.0,240.0,49.0,0.1407277757666666,0.1666666666666666,0.432762255630872,Real Madrid
Real Sociedad,2,22,2,2.607423758,830,674,2994.223703057999,0.8630408768425284,2,413,0,24,27,44,26,650,284,65,386,76,11.0,1.0,1.303711879,0.8120481927710843,206.5,0.0,12.0,13.5,22.0,0.5909090909090909,325.0,142.0,32.5,193.0,38.0,0.1185192617272727,0.0909090909090909,0.4315204384212642,Real Sociedad
Real Valladolid,2,19,0,1.0273474975,816,642,2872.9926600880003,0.7968511351322134,2,362,0,38,27,28,14,606,280,73,382,57,9.5,0.0,0.51367374875,0.7867647058823529,181.0,0.0,19.0,13.5,14.0,0.5,303.0,140.0,36.5,191.0,28.5,0.0540709209210526,0.0,0.3984255675661067,Real Valladolid
Sevilla,2,13,1,0.777321794,1091,926,3574.668462118996,0.977262451182652,2,377,0,19,45,21,15,971,319,81,385,63,6.5,0.5,0.388660897,0.8487626031164069,188.5,0.0,9.5,22.5,10.5,0.7142857142857143,485.5,159.5,40.5,192.5,31.5,0.0597939841538461,0.0769230769230769,0.488631225591326,Sevilla
Valencia,2,20,4,2.939144551,690,528,2338.4563660599983,0.6865172283815815,2,252,0,24,31,11,7,548,254,62,320,80,10.0,2.0,1.4695722755,0.7652173913043478,126.0,0.0,12.0,15.5,5.5,0.6363636363636364,274.0,127.0,31.0,160.0,40.0,0.14695722755,0.2,0.3432586141907907,Valencia
Villarreal,2,15,1,1.5545936365,1061,883,3492.279588161,0.9270092103418124,2,237,0,15,28,38,25,875,327,104,513,106,7.5,0.5,0.77729681825,0.8322337417530632,118.5,0.0,7.5,14.0,19.0,0.6578947368421053,437.5,163.5,52.0,256.5,53.0,0.1036395757666666,0.0666666666666666,0.4635046051709061,Villarreal
